company,year,month,period,sentiment_score,revenue_growth,esg_score,employee_rating,market_share,media_mentions,customer_satisfaction,reputation_score,event_note,date,text,market_noise
TCS,2014,Jan,2014-01,-0.251,0.0789,65.78,3.98,17.93,401,4.06,0.6421,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable,-0.035
TCS,2014,Feb,2014-02,0.901,0.0742,65.65,3.74,17.86,439,3.71,0.6186,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile,-0.016
TCS,2014,Mar,2014-03,0.464,0.0835,63.78,3.84,17.73,307,4.05,0.6333,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable,-0.02
TCS,2014,Apr,2014-04,0.197,0.0775,63.29,3.73,18.03,327,3.94,0.6187,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate,-0.073
TCS,2014,May,2014-05,-0.688,0.0777,64.28,4.02,18.0,335,3.98,0.632,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate,0.015
TCS,2014,Jun,2014-06,-0.688,0.0857,62.65,3.64,18.06,479,3.92,0.6222,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile,0.013
TCS,2014,Jul,2014-07,-0.884,0.0836,63.23,3.71,17.86,504,3.93,0.632,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong,0.0
TCS,2014,Aug,2014-08,0.732,0.0856,64.54,3.72,18.18,502,3.99,0.6279,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate,-0.012
TCS,2014,Sep,2014-09,0.202,0.0845,65.4,3.92,17.86,405,3.79,0.6359,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain,-0.071
TCS,2014,Oct,2014-10,0.416,0.0875,66.63,3.79,18.3,448,3.84,0.6308,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate,-0.021
TCS,2014,Nov,2014-11,-0.959,0.0903,64.96,3.99,17.21,485,3.91,0.6418,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate,-0.017
TCS,2014,Dec,2014-12,0.94,0.0837,62.61,3.77,18.11,538,3.85,0.6264,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong,-0.04
TCS,2015,Jan,2015-01,0.665,0.086,68.1,3.94,18.34,461,4.01,0.6499,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable,-0.008
TCS,2015,Feb,2015-02,-0.575,0.0824,66.61,3.85,18.06,443,4.03,0.6469,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate,0.02
TCS,2015,Mar,2015-03,-0.636,0.0961,65.3,3.85,18.4,355,3.98,0.6584,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile,0.094
TCS,2015,Apr,2015-04,-0.633,0.1021,67.21,3.93,18.48,266,4.0,0.6628,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable,0.009
TCS,2015,May,2015-05,-0.392,0.1097,66.77,3.94,18.49,326,4.11,0.6731,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain,0.013
TCS,2015,Jun,2015-06,0.05,0.1003,65.91,4.07,18.08,466,4.22,0.6771,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong,-0.004
TCS,2015,Jul,2015-07,-0.136,0.0915,67.12,3.84,18.03,425,3.89,0.6509,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain,-0.096
TCS,2015,Aug,2015-08,-0.418,0.0856,68.86,3.81,18.4,485,3.88,0.652,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable,-0.001
TCS,2015,Sep,2015-09,0.224,0.1075,65.07,3.92,18.58,482,3.88,0.6672,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable,0.003
TCS,2015,Oct,2015-10,-0.721,0.0952,67.36,3.93,18.6,365,4.02,0.6534,,2015-10-01,TCS performance in October 2015 with reputation score 0.6534 showing stable,0.123
TCS,2015,Nov,2015-11,-0.416,0.0823,69.24,3.96,18.14,472,3.9,0.6484,,2015-11-01,TCS performance in November 2015 with reputation score 0.6484 showing uncertain,-0.01
TCS,2015,Dec,2015-12,-0.267,0.1023,66.02,4.02,18.62,485,4.19,0.6767,,2015-12-01,TCS performance in December 2015 with reputation score 0.6767 showing stable,0.015
TCS,2016,Jan,2016-01,-0.088,0.074,67.93,3.7,18.98,447,3.93,0.6358,,2016-01-01,TCS performance in January 2016 with reputation score 0.6358 showing uncertain,-0.002
TCS,2016,Feb,2016-02,0.57,0.0781,70.74,3.77,19.82,470,3.81,0.6451,,2016-02-01,TCS performance in February 2016 with reputation score 0.6451 showing stable,-0.058
TCS,2016,Mar,2016-03,-0.601,0.0919,68.73,3.89,19.14,414,3.82,0.6565,,2016-03-01,TCS performance in March 2016 with reputation score 0.6565 showing volatile,0.057
TCS,2016,Apr,2016-04,0.028,0.0734,70.03,3.83,18.63,417,3.94,0.6291,Leadership transition — Rajesh Gopinathan becomes CEO,2016-04-01,TCS performance in April 2016 with reputation score 0.6291 showing stable,0.038
TCS,2016,May,2016-05,0.185,0.0812,69.07,3.66,19.11,464,4.01,0.6422,,2016-05-01,TCS performance in May 2016 with reputation score 0.6422 showing uncertain,0.04
TCS,2016,Jun,2016-06,-0.907,0.073,67.87,3.86,19.15,461,4.29,0.6594,,2016-06-01,TCS performance in June 2016 with reputation score 0.6594 showing moderate,-0.045
TCS,2016,Jul,2016-07,0.215,0.0951,70.14,3.88,18.91,480,3.82,0.6689,,2016-07-01,TCS performance in July 2016 with reputation score 0.6689 showing stable,0.07
TCS,2016,Aug,2016-08,-0.659,0.0791,69.1,4.08,18.44,474,3.74,0.651,,2016-08-01,TCS performance in August 2016 with reputation score 0.651 showing moderate,-0.07
TCS,2016,Sep,2016-09,-0.87,0.0957,69.08,3.67,18.79,474,3.83,0.6566,,2016-09-01,TCS performance in September 2016 with reputation score 0.6566 showing volatile,0.029
TCS,2016,Oct,2016-10,0.898,0.0814,68.22,4.06,19.19,257,3.92,0.6549,,2016-10-01,TCS performance in October 2016 with reputation score 0.6549 showing strong,0.11
TCS,2016,Nov,2016-11,0.931,0.0848,68.05,3.79,19.15,489,3.78,0.6381,,2016-11-01,TCS performance in November 2016 with reputation score 0.6381 showing volatile,-0.05
TCS,2016,Dec,2016-12,0.617,0.0792,68.22,4.01,19.12,319,3.99,0.6543,,2016-12-01,TCS performance in December 2016 with reputation score 0.6543 showing stable,-0.028
TCS,2017,Jan,2017-01,-0.391,0.1083,69.18,3.84,19.88,363,4.04,0.6899,,2017-01-01,TCS performance in January 2017 with reputation score 0.6899 showing moderate,0.005
TCS,2017,Feb,2017-02,-0.805,0.0906,70.93,3.51,19.19,399,3.88,0.6555,,2017-02-01,TCS performance in February 2017 with reputation score 0.6555 showing moderate,-0.025
TCS,2017,Mar,2017-03,0.368,0.0966,70.47,3.92,19.93,305,4.12,0.6918,,2017-03-01,TCS performance in March 2017 with reputation score 0.6918 showing uncertain,-0.078
TCS,2017,Apr,2017-04,-0.12,0.0891,71.55,3.92,19.32,425,3.96,0.6668,,2017-04-01,TCS performance in April 2017 with reputation score 0.6668 showing moderate,0.003
TCS,2017,May,2017-05,-0.756,0.1053,72.9,3.75,20.14,263,3.98,0.6814,,2017-05-01,TCS performance in May 2017 with reputation score 0.6814 showing uncertain,-0.053
TCS,2017,Jun,2017-06,-0.01,0.1062,70.25,3.88,19.35,372,4.08,0.6889,,2017-06-01,TCS performance in June 2017 with reputation score 0.6889 showing strong,0.024
TCS,2017,Jul,2017-07,-0.931,0.1005,72.08,3.94,19.74,470,3.92,0.687,,2017-07-01,TCS performance in July 2017 with reputation score 0.687 showing stable,-0.046
TCS,2017,Aug,2017-08,0.819,0.109,71.73,3.9,19.54,522,3.94,0.6853,,2017-08-01,TCS performance in August 2017 with reputation score 0.6853 showing uncertain,0.077
TCS,2017,Sep,2017-09,-0.482,0.1054,70.74,4.03,19.75,485,4.13,0.6981,,2017-09-01,TCS performance in September 2017 with reputation score 0.6981 showing strong,-0.039
TCS,2017,Oct,2017-10,0.325,0.1065,70.63,3.94,19.46,427,4.06,0.6856,,2017-10-01,TCS performance in October 2017 with reputation score 0.6856 showing moderate,-0.016
TCS,2017,Nov,2017-11,-0.377,0.1147,69.79,3.75,19.85,483,4.06,0.678,,2017-11-01,TCS performance in November 2017 with reputation score 0.678 showing moderate,0.041
TCS,2017,Dec,2017-12,0.04,0.1029,69.92,3.91,19.3,498,3.99,0.684,,2017-12-01,TCS performance in December 2017 with reputation score 0.684 showing strong,-0.062
TCS,2018,Jan,2018-01,0.093,0.1274,74.5,3.93,19.75,439,4.12,0.7167,,2018-01-01,TCS performance in January 2018 with reputation score 0.7167 showing moderate,0.011
TCS,2018,Feb,2018-02,-0.63,0.1242,74.28,3.83,19.58,362,4.08,0.7079,,2018-02-01,TCS performance in February 2018 with reputation score 0.7079 showing strong,0.065
TCS,2018,Mar,2018-03,0.939,0.1498,75.03,3.98,19.99,339,4.1,0.7477,,2018-03-01,TCS performance in March 2018 with reputation score 0.7477 showing uncertain,-0.08
TCS,2018,Apr,2018-04,0.55,0.1296,73.01,4.06,20.46,411,4.14,0.7194,,2018-04-01,TCS performance in April 2018 with reputation score 0.7194 showing uncertain,0.009
TCS,2018,May,2018-05,0.879,0.1268,74.27,4.0,20.03,358,4.1,0.7241,,2018-05-01,TCS performance in May 2018 with reputation score 0.7241 showing strong,0.013
TCS,2018,Jun,2018-06,0.79,0.1456,75.15,4.26,19.77,521,4.12,0.7634,TCS becomes first Indian company to cross $100B market cap,2018-06-01,TCS performance in June 2018 with reputation score 0.7634 showing uncertain,0.039
TCS,2018,Jul,2018-07,0.196,0.1295,72.99,3.93,19.36,377,4.02,0.7319,,2018-07-01,TCS performance in July 2018 with reputation score 0.7319 showing uncertain,-0.062
TCS,2018,Aug,2018-08,0.844,0.1357,76.25,4.11,19.83,348,4.15,0.7406,,2018-08-01,TCS performance in August 2018 with reputation score 0.7406 showing uncertain,-0.066
TCS,2018,Sep,2018-09,-0.823,0.1517,75.42,3.94,19.49,528,4.09,0.7412,,2018-09-01,TCS performance in September 2018 with reputation score 0.7412 showing volatile,0.026
TCS,2018,Oct,2018-10,-0.608,0.1182,73.28,4.0,20.01,383,4.16,0.7195,,2018-10-01,TCS performance in October 2018 with reputation score 0.7195 showing stable,0.015
TCS,2018,Nov,2018-11,-0.91,0.1269,74.14,4.06,20.21,330,3.95,0.7103,,2018-11-01,TCS performance in November 2018 with reputation score 0.7103 showing moderate,0.013
TCS,2018,Dec,2018-12,-0.349,0.1357,73.1,4.19,20.03,514,4.11,0.7405,,2018-12-01,TCS performance in December 2018 with reputation score 0.7405 showing volatile,0.017
TCS,2019,Jan,2019-01,-0.223,0.134,75.7,4.22,20.69,529,4.1,0.7545,,2019-01-01,TCS performance in January 2019 with reputation score 0.7545 showing uncertain,-0.034
TCS,2019,Feb,2019-02,-0.457,0.1265,73.89,3.96,19.89,398,4.27,0.733,,2019-02-01,TCS performance in February 2019 with reputation score 0.733 showing strong,0.012
TCS,2019,Mar,2019-03,0.657,0.1286,77.95,3.93,19.99,439,4.24,0.7626,Record Q4 results — strong deal wins,2019-03-01,TCS performance in March 2019 with reputation score 0.7626 showing uncertain,0.015
TCS,2019,Apr,2019-04,-0.286,0.1005,75.89,3.94,20.7,449,4.11,0.7075,,2019-04-01,TCS performance in April 2019 with reputation score 0.7075 showing stable,-0.036
TCS,2019,May,2019-05,-0.438,0.1115,75.92,4.21,20.2,460,4.15,0.7265,,2019-05-01,TCS performance in May 2019 with reputation score 0.7265 showing uncertain,0.093
TCS,2019,Jun,2019-06,0.085,0.1231,74.76,4.03,20.14,577,4.2,0.7313,,2019-06-01,TCS performance in June 2019 with reputation score 0.7313 showing strong,0.024
TCS,2019,Jul,2019-07,-0.718,0.1277,75.87,4.07,20.68,480,4.15,0.7404,,2019-07-01,TCS performance in July 2019 with reputation score 0.7404 showing stable,-0.06
TCS,2019,Aug,2019-08,0.604,0.1208,73.24,3.92,20.91,551,4.18,0.7235,,2019-08-01,TCS performance in August 2019 with reputation score 0.7235 showing uncertain,0.033
TCS,2019,Sep,2019-09,-0.851,0.1295,79.69,4.23,20.46,343,4.04,0.7567,,2019-09-01,TCS performance in September 2019 with reputation score 0.7567 showing stable,-0.049
TCS,2019,Oct,2019-10,0.974,0.1149,74.29,4.02,20.18,554,4.29,0.7277,,2019-10-01,TCS performance in October 2019 with reputation score 0.7277 showing moderate,0.039
TCS,2019,Nov,2019-11,0.544,0.1298,76.09,4.0,20.96,463,4.1,0.733,,2019-11-01,TCS performance in November 2019 with reputation score 0.733 showing moderate,0.058
TCS,2019,Dec,2019-12,-0.603,0.116,74.34,4.21,21.07,308,4.26,0.7347,,2019-12-01,TCS performance in December 2019 with reputation score 0.7347 showing uncertain,-0.041
TCS,2020,Jan,2020-01,-0.989,0.0461,76.29,3.8,20.21,353,4.03,0.6434,,2020-01-01,TCS performance in January 2020 with reputation score 0.6434 showing stable,0.048
TCS,2020,Feb,2020-02,0.631,0.0461,75.91,3.83,20.43,460,3.9,0.6394,,2020-02-01,TCS performance in February 2020 with reputation score 0.6394 showing strong,0.021
TCS,2020,Mar,2020-03,0.414,0.064,75.0,3.97,20.0,417,3.92,0.6484,COVID-19 lockdown — remote work transition,2020-03-01,TCS performance in March 2020 with reputation score 0.6484 showing uncertain,0.041
TCS,2020,Apr,2020-04,0.458,0.034,77.06,3.93,19.93,471,3.83,0.625,,2020-04-01,TCS performance in April 2020 with reputation score 0.625 showing moderate,0.095
TCS,2020,May,2020-05,0.543,0.0403,76.22,3.91,19.94,389,4.1,0.6467,,2020-05-01,TCS performance in May 2020 with reputation score 0.6467 showing moderate,-0.012
TCS,2020,Jun,2020-06,-0.852,0.0607,75.64,3.96,20.63,238,3.92,0.6646,Safe return to work model announced,2020-06-01,TCS performance in June 2020 with reputation score 0.6646 showing uncertain,-0.038
TCS,2020,Jul,2020-07,-0.283,0.0544,77.45,3.83,20.23,407,4.12,0.6675,,2020-07-01,TCS performance in July 2020 with reputation score 0.6675 showing stable,-0.044
TCS,2020,Aug,2020-08,-0.768,0.0557,76.51,3.84,20.07,451,3.96,0.6577,,2020-08-01,TCS performance in August 2020 with reputation score 0.6577 showing moderate,-0.041
TCS,2020,Sep,2020-09,0.726,0.0736,78.05,3.86,20.56,387,3.8,0.6741,,2020-09-01,TCS performance in September 2020 with reputation score 0.6741 showing stable,-0.004
TCS,2020,Oct,2020-10,0.247,0.036,76.58,3.9,20.7,446,3.98,0.6358,,2020-10-01,TCS performance in October 2020 with reputation score 0.6358 showing moderate,0.017
TCS,2020,Nov,2020-11,-0.338,0.0303,77.28,3.99,19.76,511,4.03,0.6421,,2020-11-01,TCS performance in November 2020 with reputation score 0.6421 showing moderate,0.014
TCS,2020,Dec,2020-12,-0.873,0.0581,79.72,3.92,20.27,383,3.92,0.6643,,2020-12-01,TCS performance in December 2020 with reputation score 0.6643 showing volatile,0.041
TCS,2021,Jan,2021-01,-0.378,0.1032,79.09,3.94,21.14,470,4.2,0.7317,Strong Q3 — digital transformation boom,2021-01-01,TCS performance in January 2021 with reputation score 0.7317 showing moderate,0.001
TCS,2021,Feb,2021-02,-0.35,0.1058,77.83,3.95,21.11,480,4.01,0.7078,,2021-02-01,TCS performance in February 2021 with reputation score 0.7078 showing strong,0.073
TCS,2021,Mar,2021-03,0.459,0.1288,79.5,4.23,20.77,320,3.92,0.7504,,2021-03-01,TCS performance in March 2021 with reputation score 0.7504 showing uncertain,-0.013
TCS,2021,Apr,2021-04,0.275,0.1122,78.93,4.03,20.66,615,4.11,0.7295,,2021-04-01,TCS performance in April 2021 with reputation score 0.7295 showing uncertain,0.136
TCS,2021,May,2021-05,0.774,0.1158,79.58,4.03,20.76,457,4.29,0.7359,,2021-05-01,TCS performance in May 2021 with reputation score 0.7359 showing stable,0.031
TCS,2021,Jun,2021-06,-0.056,0.1267,78.39,3.88,20.96,424,4.21,0.7439,,2021-06-01,TCS performance in June 2021 with reputation score 0.7439 showing moderate,-0.043
TCS,2021,Jul,2021-07,-0.761,0.1282,78.81,3.95,20.7,287,4.18,0.7365,,2021-07-01,TCS performance in July 2021 with reputation score 0.7365 showing strong,-0.054
TCS,2021,Aug,2021-08,0.426,0.1027,77.45,3.96,21.5,399,3.95,0.7117,,2021-08-01,TCS performance in August 2021 with reputation score 0.7117 showing stable,0.024
TCS,2021,Sep,2021-09,0.522,0.1148,75.76,3.99,20.93,475,4.28,0.7304,,2021-09-01,TCS performance in September 2021 with reputation score 0.7304 showing volatile,-0.011
TCS,2021,Oct,2021-10,0.123,0.1088,77.67,4.31,21.02,421,4.1,0.7338,,2021-10-01,TCS performance in October 2021 with reputation score 0.7338 showing stable,0.036
TCS,2021,Nov,2021-11,0.542,0.1068,78.31,3.93,20.99,376,4.03,0.7128,,2021-11-01,TCS performance in November 2021 with reputation score 0.7128 showing stable,0.024
TCS,2021,Dec,2021-12,-0.012,0.111,80.8,3.68,21.33,519,3.89,0.715,,2021-12-01,TCS performance in December 2021 with reputation score 0.715 showing moderate,-0.004
TCS,2022,Jan,2022-01,0.045,0.127,79.31,3.81,21.17,528,4.09,0.7147,Record attrition rate 17%+ reported,2022-01-01,TCS performance in January 2022 with reputation score 0.7147 showing volatile,-0.042
TCS,2022,Feb,2022-02,-0.145,0.1338,79.65,3.84,21.65,322,4.07,0.7374,,2022-02-01,TCS performance in February 2022 with reputation score 0.7374 showing stable,-0.076
TCS,2022,Mar,2022-03,-0.949,0.135,81.85,3.95,21.39,512,3.89,0.7428,,2022-03-01,TCS performance in March 2022 with reputation score 0.7428 showing strong,-0.022
TCS,2022,Apr,2022-04,-0.784,0.1317,80.63,3.94,21.12,493,3.98,0.735,,2022-04-01,TCS performance in April 2022 with reputation score 0.735 showing strong,0.043
TCS,2022,May,2022-05,-0.937,0.1384,80.15,3.73,21.03,468,3.87,0.7277,,2022-05-01,TCS performance in May 2022 with reputation score 0.7277 showing uncertain,0.011
TCS,2022,Jun,2022-06,0.273,0.1173,83.04,3.93,21.47,376,4.04,0.7409,,2022-06-01,TCS performance in June 2022 with reputation score 0.7409 showing volatile,-0.062
TCS,2022,Jul,2022-07,-0.371,0.1448,81.14,3.92,21.39,415,4.03,0.7534,,2022-07-01,TCS performance in July 2022 with reputation score 0.7534 showing volatile,0.009
TCS,2022,Aug,2022-08,0.017,0.1222,81.89,3.92,21.44,421,4.03,0.7263,,2022-08-01,TCS performance in August 2022 with reputation score 0.7263 showing uncertain,0.019
TCS,2022,Sep,2022-09,0.815,0.1308,81.24,3.78,21.62,307,4.1,0.7471,Large deal wins — $8.1B TCV in H1,2022-09-01,TCS performance in September 2022 with reputation score 0.7471 showing stable,-0.044
TCS,2022,Oct,2022-10,-0.501,0.133,82.18,4.1,21.8,272,3.87,0.743,,2022-10-01,TCS performance in October 2022 with reputation score 0.743 showing volatile,0.008
TCS,2022,Nov,2022-11,-0.179,0.1282,81.62,3.81,21.56,359,3.94,0.7235,,2022-11-01,TCS performance in November 2022 with reputation score 0.7235 showing strong,0.003
TCS,2022,Dec,2022-12,0.511,0.1256,79.38,3.78,21.82,344,4.26,0.7281,,2022-12-01,TCS performance in December 2022 with reputation score 0.7281 showing strong,-0.057
TCS,2023,Jan,2023-01,-0.542,0.1215,81.97,4.18,21.83,429,4.46,0.7626,,2023-01-01,TCS performance in January 2023 with reputation score 0.7626 showing moderate,0.018
TCS,2023,Feb,2023-02,-0.846,0.1272,82.16,4.1,22.53,369,4.38,0.7571,,2023-02-01,TCS performance in February 2023 with reputation score 0.7571 showing volatile,0.028
TCS,2023,Mar,2023-03,-0.42,0.1235,83.76,4.22,22.19,286,4.13,0.763,K Krithivasan appointed CEO,2023-03-01,TCS performance in March 2023 with reputation score 0.763 showing stable,0.054
TCS,2023,Apr,2023-04,-0.678,0.1164,83.74,4.12,21.6,450,4.26,0.7479,,2023-04-01,TCS performance in April 2023 with reputation score 0.7479 showing uncertain,0.053
TCS,2023,May,2023-05,0.859,0.1286,84.0,4.16,21.98,287,4.24,0.7654,,2023-05-01,TCS performance in May 2023 with reputation score 0.7654 showing uncertain,-0.069
TCS,2023,Jun,2023-06,0.616,0.1262,81.47,3.97,22.32,416,4.27,0.755,,2023-06-01,TCS performance in June 2023 with reputation score 0.755 showing stable,-0.047
TCS,2023,Jul,2023-07,0.267,0.1262,84.13,4.04,22.03,383,4.16,0.7613,,2023-07-01,TCS performance in July 2023 with reputation score 0.7613 showing moderate,0.026
TCS,2023,Aug,2023-08,0.743,0.1248,82.43,4.25,21.73,405,4.16,0.7586,,2023-08-01,TCS performance in August 2023 with reputation score 0.7586 showing uncertain,0.026
TCS,2023,Sep,2023-09,0.607,0.1286,84.24,3.92,22.08,523,4.21,0.7798,AI partnership announcements boost sentiment,2023-09-01,TCS performance in September 2023 with reputation score 0.7798 showing volatile,0.026
TCS,2023,Oct,2023-10,-0.627,0.1169,84.69,4.38,21.89,384,4.35,0.7696,,2023-10-01,TCS performance in October 2023 with reputation score 0.7696 showing moderate,0.193
TCS,2023,Nov,2023-11,0.785,0.1138,82.5,4.07,21.6,346,4.1,0.7452,,2023-11-01,TCS performance in November 2023 with reputation score 0.7452 showing volatile,0.029
TCS,2023,Dec,2023-12,0.079,0.1227,83.28,4.29,21.7,498,4.18,0.7584,,2023-12-01,TCS performance in December 2023 with reputation score 0.7584 showing strong,0.057
INFOSYS_LOW,2014,Jan,2014-01,-0.1757,0.0789,65.78,3.98,17.93,401,4.06,0.44947,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable (INFOSYS_LOW),-0.035
INFOSYS_LOW,2014,Feb,2014-02,0.6306999999999999,0.0742,65.65,3.74,17.86,439,3.71,0.43302,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile (INFOSYS_LOW),-0.016
INFOSYS_LOW,2014,Mar,2014-03,0.3248,0.0835,63.78,3.84,17.73,307,4.05,0.4433099999999999,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable (INFOSYS_LOW),-0.02
INFOSYS_LOW,2014,Apr,2014-04,0.1379,0.0775,63.29,3.73,18.03,327,3.94,0.43309,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate (INFOSYS_LOW),-0.073
INFOSYS_LOW,2014,May,2014-05,-0.4815999999999999,0.0777,64.28,4.02,18.0,335,3.98,0.44239999999999996,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate (INFOSYS_LOW),0.015
INFOSYS_LOW,2014,Jun,2014-06,-0.4815999999999999,0.0857,62.65,3.64,18.06,479,3.92,0.43554,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile (INFOSYS_LOW),0.013
INFOSYS_LOW,2014,Jul,2014-07,-0.6188,0.0836,63.23,3.71,17.86,504,3.93,0.44239999999999996,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong (INFOSYS_LOW),0.0
INFOSYS_LOW,2014,Aug,2014-08,0.5124,0.0856,64.54,3.72,18.18,502,3.99,0.43953,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate (INFOSYS_LOW),-0.012
INFOSYS_LOW,2014,Sep,2014-09,0.1414,0.0845,65.4,3.92,17.86,405,3.79,0.44512999999999997,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain (INFOSYS_LOW),-0.071
INFOSYS_LOW,2014,Oct,2014-10,0.29119999999999996,0.0875,66.63,3.79,18.3,448,3.84,0.44156,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate (INFOSYS_LOW),-0.021
